arXiv:1503.00080, Title: Minimax Optimum Estimators for Phase Synchronization in IEEE 1588
arXiv:1503.00135, Title: Supervised learning sets benchmark for robust spike detection from  calcium imaging signals
arXiv:1503.00163, Title: Are Gibbs-type priors the most natural generalization of the Dirichlet  process?
arXiv:1503.00164, Title: Analysis of Crowdsourced Sampling Strategies for HodgeRank with Sparse  Random Graphs
arXiv:1503.00214, Title: Matrix Completion with Noisy Entries and Outliers
arXiv:1503.00226, Title: Adaptive estimation of the baseline hazard function in the Cox model by  model selection, with high-dimensional covariates
arXiv:1503.00256, Title: Constructing Priors that Penalize the Complexity of Gaussian Random  Fields
arXiv:1503.00266, Title: Biased Online Parameter Inference for State-Space Models
arXiv:1503.00269, Title: Contrastive Pessimistic Likelihood Estimation for Semi-Supervised  Classification
arXiv:1503.00299, Title: Statistical detection of movement activities in a human brain by  separation of mixture distributions
arXiv:1503.00323, Title: Sparse Approximation of a Kernel Mean
arXiv:1503.00332, Title: JUMP-Means: Small-Variance Asymptotics for Markov Jump Processes
arXiv:1503.00334, Title: Sparse regression and marginal testing using cluster prototypes
arXiv:1503.00357, Title: Consistency of Importance Sampling estimates based on dependent sample  sets and an application to models with factorizing likelihoods
arXiv:1503.00378, Title: Holonomic gradient method for distribution function of a weighted sum of  noncentral chi-square random variables
arXiv:1503.00463, Title: 3D Power-map for Smart Grids---An Integration of High-dimensional  Analysis and Visualization
arXiv:1503.00466, Title: Spectral estimation for diffusions with random sampling times
arXiv:1503.00489, Title: Approximation and estimation of very small probabilities of multivariate  extreme events
arXiv:1503.00635, Title: BayesSummaryStatLM: An R package for Bayesian Linear Models for Big Data  and Data Science
arXiv:1503.00643, Title: Two samples test for discrete power-law distributions
arXiv:1503.00741, Title: On the asymptotic normality of kernel estimators of the long run  covariance of functional time series
arXiv:1503.00759, Title: A Review of Relational Machine Learning for Knowledge Graphs
arXiv:1503.00781, Title: Teaching and Learning Data Visualization: Ideas and Assignments
arXiv:1503.00855, Title: How to speed up R code: an introduction
arXiv:1503.00890, Title: Estimation of extended mixed models using latent classes and latent  processes: the R package lcmm
