arXiv:1003.0060, Title: Comment on "Fastest learning in small-world neural networks"
arXiv:1003.0078, Title: Security Analysis of Online Centroid Anomaly Detection
arXiv:1003.0173, Title: Compound Markov counting processes and their applications to modeling  infinitesimally over-dispersed systems
arXiv:1003.0182, Title: Product-limit estimators of the gap time distribution of a renewal  process under different sampling patterns
arXiv:1003.0188, Title: History of applications of martingales in survival analysis
arXiv:1003.0243, Title: Perfect simulation using dominated coupling from the past with  application to area-interaction point processes and wavelet thresholding
arXiv:1003.0261, Title: Covariate adjusted functional principal components analysis for  longitudinal data
arXiv:1003.0275, Title: Statistical inference for time-changed Lévy processes via composite  characteristic function estimation
arXiv:1003.0315, Title: Kernel methods and minimum contrast estimators for empirical  deconvolution
arXiv:1003.0428, Title: Free Energy Methods for Bayesian Inference: Efficient Exploration of  Univariate Gaussian Mixture Posteriors
arXiv:1003.0747, Title: Asymptotic Results on Adaptive False Discovery Rate Controlling  Procedures Based on Kernel Estimators
arXiv:1003.0783, Title: Supervised Topic Models
arXiv:1003.0804, Title: Branch and Bound Algorithms for Maximizing Expected Improvement  Functions
arXiv:1003.0848, Title: Penalized maximum likelihood estimation for generalized linear point  processes
arXiv:1003.0887, Title: Universality, Characteristic Kernels and RKHS Embedding of Measures
arXiv:1003.0996, Title: Approaches for multi-step density forecasts with application to  aggregated wind power
arXiv:1003.1002, Title: Extending The Range of Application of Permutation Tests: the Expected  Permutation p-value Approach
arXiv:1003.1146, Title: Global identifiability of linear structural equation models
arXiv:1003.1170, Title: Asymptotic admissibility of priors and elliptic differential equations
arXiv:1003.1189, Title: Mirror averaging with sparsity priors
arXiv:1003.1315, Title: A Computationally Stable Approach to Gaussian Process Interpolation of  Deterministic Computer Simulation Data
arXiv:1003.1325, Title: Beta-binomial/gamma-Poisson regression models for repeated counts with  random parameters
arXiv:1003.1513, Title: On the trasductive arguments in statistics
arXiv:1003.1535, Title: Kink estimation in stochastic regression with dependent errors and  predictors
arXiv:1003.1557, Title: Optimal Designs for Two-Level Factorial Experiments with Binary Response
arXiv:1003.1573, Title: Partially linear models on Riemannian manifolds
