arXiv:1208.0028, Title: On Bayesian credible sets in restricted parameter space problems and  lower bounds for frequentist coverage
arXiv:1208.0065, Title: An Improved Data Assimilation Scheme for High Dimensional Nonlinear  Systems
arXiv:1208.0121, Title: Exponential-family Random Network Models
arXiv:1208.0129, Title: Oracle inequalities for computationally adaptive model selection
arXiv:1208.0325, Title: Re-Weighted l_1 Dynamic Filtering for Time-Varying Sparse Signal  Estimation
arXiv:1208.0366, Title: Reasoning about Interference Between Units
arXiv:1208.0463, Title: Bridging the ensemble Kalman and particle filter
arXiv:1208.0570, Title: Lasso and probabilistic inequalities for multivariate point processes
arXiv:1208.0579, Title: Bayesian Mode Regression
arXiv:1208.0628, Title: Ancestral Inference from Functional Data: Statistical Methods and  Numerical Examples
arXiv:1208.0651, Title: Fast and Accurate Algorithms for Re-Weighted L1-Norm Minimization
arXiv:1208.0687, Title: A uniform central limit theorem and efficiency for deconvolution  estimators
arXiv:1208.0788, Title: An Upper Bound on the Convergence Time for Quantized Consensus
arXiv:1208.0799, Title: Competing Process Hazard Function Models for Player Ratings in Ice  Hockey
arXiv:1208.0806, Title: Cross-conformal predictors
arXiv:1208.0921, Title: Fractal analysis of resting state functional connectivity of the brain
arXiv:1208.0924, Title: Fractal-driven distortion of resting state functional networks in fMRI:  a simulation study
arXiv:1208.0945, Title: Massive parallelization of serial inference algorithms for a complex  generalized linear model
arXiv:1208.1056, Title: Sequential Estimation Methods from Inclusion Principle
arXiv:1208.1065, Title: Tangent space estimation for smooth embeddings of Riemannian manifolds
arXiv:1208.1087, Title: Inter-Coder Agreement for Nominal Scales: A Model-based Approach
arXiv:1208.1154, Title: Identifying subtree perfectness in decision trees
arXiv:1208.1174, Title: Modelling Interactions in High-dimensional Data with Backtracking
arXiv:1208.1211, Title: PAC-Bayesian Estimation and Prediction in Sparse Additive Models
arXiv:1208.1237, Title: Fast and Robust Recursive Algorithms for Separable Nonnegative Matrix  Factorization
arXiv:1208.1487, Title: Demmartingales and the functionnal Hill process for small parameters
arXiv:1208.1517, Title: On the spatial correlation between areas of high coseismic slip and  aftershock clusters of the Maule earthquake Mw=8.8
arXiv:1208.1717, Title: The use of systems of stochastic PDEs as priors for multivariate models  with discrete structures
arXiv:1208.1720, Title: Mixing Coefficients Between Discrete and Real Random Variables:  Computation and Properties
arXiv:1208.1725, Title: The Pythagorean Won-Loss Formula and Hockey: A Statistical Justification  for Using the Classic Baseball Formula as an Evaluative Tool in Hockey
arXiv:1208.1726, Title: Hierarchical array priors for ANOVA decompositions of cross-classified  data
arXiv:1208.1728, Title: Statistical Analysis of Autoregressive Fractionally Integrated Moving  Average Models
arXiv:1208.1823, Title: Minimax testing of a composite null hypothesis defined via a quadratic  functional in the model of regression
arXiv:1208.1864, Title: Nested hidden Markov chains for modeling dynamic unobserved  heterogeneity in multilevel longitudinal data
arXiv:1208.1981, Title: General notions of depth for functional data
arXiv:1208.2043, Title: High-Dimensional Screening Using Multiple Grouping of Variables
arXiv:1208.2113, Title: Stochastic linear programming with a distortion risk constraint
arXiv:1208.2157, Title: A Simulated Annealing Approach to Approximate Bayes Computations
arXiv:1208.2253, Title: Refining genetically inferred relationships using treelet covariance  smoothing
arXiv:1208.2301, Title: Agnostic notes on regression adjustments to experimental data:  Reexamining Freedman's critique
arXiv:1208.2417, Title: How to sample if you must: on optimal functional sampling
arXiv:1208.2572, Title: Nonparametric sparsity and regularization
arXiv:1208.2635, Title: Variable Selection with Exponential Weights and $l_0$-Penalization
arXiv:1208.2638, Title: Higher Variations of the Monty Hall Problem (3.0 and 4.0) and Empirical  Definition of the Phenomenon of Mathematics, in Boole's Footsteps, as  Something the Brain Does
arXiv:1208.2651, Title: A Plea for Neutral Comparison Studies in Computational Sciences
arXiv:1208.2716, Title: Prediction and Computer Model Calibration Using Outputs From  Multi-fidelity Simulators
arXiv:1208.2733, Title: Testing Functional Inequalities
arXiv:1208.2841, Title: Multiple Testing for Exploratory Research
arXiv:1208.2892, Title: On the prediction of stationary functional time series
arXiv:1208.2895, Title: A note on estimation in Hilbertian linear models
arXiv:1208.2929, Title: Adaptive estimation in regression and complexity of approximation of  random fields
arXiv:1208.2976, Title: Discriminating different classes of biological networks by analyzing the  graphs spectra distribution
arXiv:1208.2977, Title: Bayesian inference on dependence in multivariate longitudinal data
arXiv:1208.3014, Title: Efficient Algorithm for Extremely Large Multi-task Regression with  Massive Structured Sparsity
arXiv:1208.3030, Title: Asymptotic Generalization Bound of Fisher's Linear Discriminant Analysis
arXiv:1208.3121, Title: The Multivariate $S_n$ Estimator
arXiv:1208.3145, Title: Metric distances derived from cosine similarity and Pearson and Spearman  correlations
arXiv:1208.3279, Title: Structured Prediction Cascades
arXiv:1208.3292, Title: Discussion of "Multiple Testing for Exploratory Research" by J. J.  Goeman and A. Solari
arXiv:1208.3294, Title: Discussion of "Multiple Testing for Exploratory Research" by J. J.  Goeman and A. Solari
arXiv:1208.3296, Title: Discussion of "Multiple Testing for Exploratory Research" by J. J.  Goeman and A. Solari
arXiv:1208.3297, Title: Rejoinder to "Multiple Testing for Exploratory Research"
arXiv:1208.3321, Title: Test for bandedness of high-dimensional covariance matrices and  bandwidth estimation
arXiv:1208.3360, Title: Correction on Moments of minors of Wishart matrices
arXiv:1208.3378, Title: Statistical Modeling of Spatial Extremes
arXiv:1208.3380, Title: Consistent selection of tuning parameters via variable selection  stability
arXiv:1208.3422, Title: Distance Metric Learning for Kernel Machines
arXiv:1208.3552, Title: Inference of time-varying regression models
arXiv:1208.3553, Title: The Dependence of Routine Bayesian Model Selection Methods on Irrelevant  Alternatives
arXiv:1208.3555, Title: Nonconcave penalized composite conditional likelihood estimation of  sparse Ising models
arXiv:1208.3559, Title: Discussion of "Statistical Modeling of Spatial Extremes" by A. C.  Davison, S. A. Padoan and M. Ribatet
arXiv:1208.3571, Title: Nonparametric Inference for Max-Stable Dependence
arXiv:1208.3574, Title: Discussion of "Statistical Modeling of Spatial Extremes" by A. C.  Davison, S. A. Padoan and M. Ribatet
arXiv:1208.3575, Title: Discussion of "Statistical Modeling of Spatial Extremes" by A. C.  Davison, S. A. Padoan and M. Ribatet
arXiv:1208.3577, Title: Rejoinder to "Statistical Modeling of Spatial Extremes"
arXiv:1208.3659, Title: Thermal Effects for Shaft-Pre-Stress on Rotor Dynamic System
arXiv:1208.3728, Title: Online Learning with Predictable Sequences
arXiv:1208.3770, Title: The General Poverty Index
arXiv:1208.3862, Title: Nonparametric Bernstein-von Mises theorems in Gaussian white noise
arXiv:1208.3920, Title: Asymptotics for penalized splines in generalized additive models
arXiv:1208.4118, Title: Exact Hamiltonian Monte Carlo for Truncated Multivariate Gaussians
arXiv:1208.4183, Title: Learning LiNGAM based on data with more variables than observations
arXiv:1208.4271, Title: Minerva and minepy: a C engine for the MINE suite and its R, Python and  MATLAB wrappers
arXiv:1208.4275, Title: Composite likelihood estimation of sparse Gaussian graphical models with  symmetry
arXiv:1208.4285, Title: Mark-Recapture with Multiple Non-invasive Marks
arXiv:1208.4318, Title: Guaranteed Conservative Fixed Width Confidence Intervals Via Monte Carlo  Sampling
arXiv:1208.4379, Title: Simultaneous Model Selection and Estimation for Mean and Association  Structures with Clustered Binary Data
arXiv:1208.4411, Title: A non-parametric mixture model for topic modeling over time
arXiv:1208.4429, Title: Common Mistakes when Applying Computational Intelligence and Machine  Learning to Stock Market modelling
arXiv:1208.4441, Title: Wavelet Deconvolution in a Periodic Setting with Long-Range Dependent  Errors
arXiv:1208.4621, Title: Bayesian Analysis of Multiway Tables in Association Studies: A Model  Comparison Approach
arXiv:1208.4811, Title: Exploring wind direction and SO2 concentration by circular-linear  density estimation
arXiv:1208.4818, Title: Fast MCMC sampling for Markov jump processes and extensions
arXiv:1208.4891, Title: Kramers-type effective Reactive Flow in Structured-noise Environments
arXiv:1208.4892, Title: Critical Properties of $S^{4}$ System Restudied via Generalized  Migdal-Kadanoff Bond-moving Renormalization
arXiv:1208.4944, Title: Using prior information to identify boundaries in disease risk maps
arXiv:1208.4949, Title: A stochastic variational framework for fitting and diagnosing  generalized linear mixed models
arXiv:1208.4989, Title: Penalized estimation in high-dimensional hidden Markov models with  state-specific graphical models
arXiv:1208.5062, Title: Changepoint detection for high-dimensional time series with missing data
arXiv:1208.5311, Title: Assessing the Health of Richibucto Estuary with the Latent Health Factor  Index
arXiv:1208.5376, Title: Conditional simulation of max-stable processes
arXiv:1208.5384, Title: Local Quantile Regression
arXiv:1208.5467, Title: Censored quantile regression processes under dependence and penalization
arXiv:1208.5501, Title: Asymptotically efficient estimation of a scale parameter in Gaussian  time series and closed-form expressions for the Fisher information
arXiv:1208.5584, Title: Preconditioning to comply with the Irrepresentable Condition
arXiv:1208.5595, Title: Nonsingular subsampling for S-estimators with categorical predictors
arXiv:1208.5597, Title: Biologists meet statisticians: A workshop for young scientists to foster  interdisciplinary team work
arXiv:1208.5600, Title: A population Monte Carlo scheme with transformed weights and its  application to stochastic kinetic models
arXiv:1208.5702, Title: Positive Definite $\ell_1$ Penalized Estimation of Large Covariance  Matrices
arXiv:1208.5755, Title: Graph-Based Tests for Two-Sample Comparisons of Categorical Data
arXiv:1208.5792, Title: Measuring Nepotism Through Shared Last Names: Response to Ferlazzo and  Sdoia
arXiv:1208.5809, Title: Mixture Models for Single Cell Assays with Applications to Vaccine  Studies
arXiv:1208.6378, Title: A note on extreme values and kernel estimators of sample boundaries
arXiv:1208.6402, Title: Statistical inference in compound functional models
arXiv:1208.6403, Title: Generating a synthetic population of individuals in households:  Sample-free vs sample-based methods
arXiv:1208.6537, Title: Dirichlet Posterior Sampling with Truncated Multinomial Likelihoods
arXiv:1208.6578, Title: A geometric formulation of fiducial probability
arXiv:1208.6581, Title: On computation of clustering coefficient in a class of random networks
arXiv:1208.0378, Title: Fast Planar Correlation Clustering for Image Segmentation
arXiv:1208.0402, Title: Multidimensional Membership Mixture Models
arXiv:1208.0432, Title: Efficient Point-to-Subspace Query in $\ell^1$ with Application to Robust  Object Instance Recognition
arXiv:1208.0645, Title: On the Consistency of AUC Pairwise Optimization
arXiv:1208.0721, Title: Polar sets of anisotropic Gaussian random fields
arXiv:1208.0848, Title: Learning Theory Approach to Minimum Error Entropy Criterion
arXiv:1208.0959, Title: Recklessly Approximate Sparse Coding
arXiv:1208.1123, Title: Evolutionary Model of the Growth and Size of Firms
arXiv:1208.1188, Title: Relations between allometric scalings and fluctuations in complex  systems: The case of Japanese firms
arXiv:1208.1259, Title: One Permutation Hashing for Efficient Search and Learning
arXiv:1208.1400, Title: Second-order asymptotics for quantum hypothesis testing
arXiv:1208.1706, Title: A Bayesian Analysis of the Correlations Among Sunspot Cycles
arXiv:1208.1805, Title: General lower bounds on maximal determinants of binary matrices
arXiv:1208.1810, Title: The Preliminary Results on Super Robustness
arXiv:1208.1811, Title: Singular Vector Perturbation under Gaussian Noise
arXiv:1208.2007, Title: A Novel Universal Statistic for Computing Upper Limits in Ill-behaved  Background
arXiv:1208.2015, Title: Sharp analysis of low-rank kernel matrix approximations
arXiv:1208.2238, Title: The date of interbreeding between Neandertals and modern humans
arXiv:1208.2242, Title: Dynamics of Snoring Sounds and Its Connection with Obstructive Sleep  Apnea
arXiv:1208.2278, Title: Balancing Lifetime and Classification Accuracy of Wireless Sensor  Networks
arXiv:1208.2396, Title: Do cycles dissipate when subjects must choose simultaneously?
arXiv:1208.2523, Title: Path Integral Control by Reproducing Kernel Hilbert Space Embedding
arXiv:1208.2719, Title: Unified Analysis of Transmit Antenna Selection/Space-Time Block Coding  with Receive Selection and Combining over Nakagami-m Fading Channels in the  Presence of Feedback Errors
arXiv:1208.2873, Title: Detecting Events and Patterns in Large-Scale User Generated Textual  Streams with Statistical Learning Methods
arXiv:1208.2878, Title: Interest Rate Manipulation Detection using Time Series Clustering  Approach
arXiv:1208.3035, Title: On the future of astrostatistics: statistical foundations and  statistical practice
arXiv:1208.3036, Title: Bayesian astrostatistics: a backward look to the future
arXiv:1208.3278, Title: On causal extrapolation of sequences with applications to forecasting
arXiv:1208.3428, Title: Comparative Bi-stochastizations and Associated  Clusterings/Regionalizations of the 1995-2000 U. S. Intercounty Migration  Network
arXiv:1208.3434, Title: Anti-retroviral therapy for HIV: who should we test and who should we  treat?
arXiv:1208.3524, Title: Power-law distributions in binned empirical data
arXiv:1208.3538, Title: Inverse Modeling of Dynamical Systems: Multi-Dimensional Extensions of a  Stochastic Switching Problem
arXiv:1208.3606, Title: Statistical Inference of Allopolyploid Species Networks in the Presence  of Incomplete Lineage Sorting
arXiv:1208.3687, Title: Information-theoretic Dictionary Learning for Image Classification
arXiv:1208.3822, Title: Joint-ViVo: Selecting and Weighting Visual Words Jointly for  Bag-of-Features based Tissue Classification in Medical Images
arXiv:1208.3839, Title: Discriminative Sparse Coding on Multi-Manifold for Data Representation  and Classification
arXiv:1208.3845, Title: Adaptive Graph via Multiple Kernel Learning for Nonnegative Matrix  Factorization
arXiv:1208.3922, Title: On the Linear Convergence of the Alternating Direction Method of  Multipliers
arXiv:1208.3943, Title: Performance Tuning Of J48 Algorithm For Prediction Of Soil Fertility
arXiv:1208.4066, Title: Reverse Engineering Gene Interaction Networks Using the Phi-Mixing  Coefficient
arXiv:1208.4138, Title: Semi-supervised Clustering Ensemble by Voting
arXiv:1208.4384, Title: Iterative graph cuts for image segmentation with a nonlinear statistical  shape prior
arXiv:1208.4398, Title: A Unified Approach for Modeling and Recognition of Individual Actions  and Group Activities
arXiv:1208.4400, Title: Integrated analysis of variants and pathways in genome-wide association  studies using polygenic models of disease
arXiv:1208.4462, Title: Accept & Reject Statement-Based Uncertainty Models
arXiv:1208.4475, Title: Information-Theoretic Measures of Influence Based on Content Dynamics
