arXiv:1401.0062, Title: The combinatorial structure of beta negative binomial processes
arXiv:1401.0086, Title: Forward-Backward Greedy Algorithms for General Convex Smooth Functions  over A Cardinality Constraint
arXiv:1401.0087, Title: Contributors of carbon dioxide in the atmosphere in Europe: the surface  response analysis
arXiv:1401.0100, Title: Improving forecasting performance using covariate-dependent copula  models
arXiv:1401.0118, Title: Black Box Variational Inference
arXiv:1401.0132, Title: General Standby Component Allocation in Series and Parallel Systems
arXiv:1401.0168, Title: Efficient inference and simulation for elliptical Pareto processes
arXiv:1401.0201, Title: Sparse Recovery with Very Sparse Compressed Counting
arXiv:1401.0211, Title: Feature Augmentation via Nonparametrics and Selection (FANS) in High  Dimensional Classification
arXiv:1401.0265, Title: Approximate Bayesian Computation for a Class of Time Series Models
arXiv:1401.0267, Title: Transformed sufficient dimension reduction
arXiv:1401.0303, Title: Rediscovery of Good-Turing estimators via Bayesian nonparametrics
arXiv:1401.0334, Title: Convex optimization on Banach Spaces
arXiv:1401.0398, Title: Theory and Applications of Proper Scoring Rules
arXiv:1401.0404, Title: Epitope profiling via mixture modeling of ranked data
arXiv:1401.0604, Title: Particle Gibbs with Ancestor Sampling
arXiv:1401.0609, Title: Note on distribution free testing for discrete distributions
arXiv:1401.0683, Title: Uniform ergodicity of the Particle Gibbs sampler
arXiv:1401.0688, Title: Quantile Regression for Location-Scale Time Series Models with  Conditional Heteroscedasticity
arXiv:1401.0759, Title: Adjusting models of ordered multinomial outcomes for nonignorable  nonresponse in the occupational employment statistics survey
arXiv:1401.0803, Title: Structure functions and minimal path sets
arXiv:1401.0844, Title: $D$-optimal saturated designs: a simulation study
arXiv:1401.0852, Title: Concave Penalized Estimation of Sparse Gaussian Bayesian Networks
arXiv:1401.0871, Title: Stylistic Clusters and the Syrian/South Syrian Tradition of  First-Millennium BCE Levantine Ivory Carving: A Machine Learning Approach
arXiv:1401.0903, Title: Second order statistics characterization of Hawkes processes and  non-parametric estimation
arXiv:1401.0942, Title: Factorized Point Process Intensities: A Spatial Analysis of Professional  Basketball
arXiv:1401.0967, Title: Nonparametric Density Estimation Using Partially Rank-Ordered Set  Samples With Application in Estimating the Distribution of Wheat Yield
arXiv:1401.0993, Title: Covariance and precision matrix estimation for high-dimensional time  series
arXiv:1401.1022, Title: On Using Control Variates with Stochastic Approximation for Variational  Bayes and its Connection to Stochastic Linear Regression
arXiv:1401.1026, Title: A nonstandard empirical likelihood for time series
arXiv:1401.1052, Title: Inverse Bayesian Estimation of Gravitational Mass Density in Galaxies  from Missing Kinematic Data
arXiv:1401.1073, Title: Empirical characteristic function identification of linear stochastic  systems with possibly unstable zeros
arXiv:1401.1130, Title: Event Conditional Correlation: Or How Non-Linear Linear Dependence Can  Be
arXiv:1401.1137, Title: Sparse graphs using exchangeable random measures
arXiv:1401.1264, Title: Identifiability of Subgroup Causal Effects in Randomized Experiments  with Nonignorable Missing Covariates
arXiv:1401.1267, Title: Three Occurrences of the Hyperbolic-Secant Distribution
arXiv:1401.1269, Title: Bayesian Robust Inference of Sample Selection Using Selection-t Models
arXiv:1401.1301, Title: Covariance pattern mixture models for the analysis of multivariate  heterogeneous longitudinal data
arXiv:1401.1383, Title: Robustness properties of marginal composite likelihood estimators
arXiv:1401.1397, Title: Fibers of multi-way contingency tables given conditionals: relation to  marginals, cell bounds and Markov bases
arXiv:1401.1403, Title: M-estimation in multistage sampling procedures
arXiv:1401.1436, Title: Accelerating ABC methods using Gaussian processes
arXiv:1401.1489, Title: Key point selection and clustering of swimmer coordination through  Sparse Fisher-EM
arXiv:1401.1608, Title: An algorithm for deciding the number of clusters and validation using  simulated data with application to exploring crop population structure
arXiv:1401.1631, Title: Maximin and maximin-efficient event-related fMRI designs under a  nonlinear model
arXiv:1401.1640, Title: Quantifying intrinsic and extrinsic noise in gene transcription using  the linear noise approximation: An application to single cell data
arXiv:1401.1663, Title: Calibrated imputation of numerical data under linear edit restrictions
arXiv:1401.1667, Title: Flexible Particle Markov chain Monte Carlo methods with an application  to a factor stochastic volatility model
arXiv:1401.1674, Title: Testing order restrictions in contingency tables
arXiv:1401.1683, Title: Evaluating costs with unmeasured confounding: A sensitivity analysis for  the treatment effect
arXiv:1401.1689, Title: The tomb next door: An update to ``Statistical analysis of an  archeological find''
arXiv:1401.1701, Title: Flexible covariate-adjusted exact tests of randomized treatment effects  with application to a trial of HIV education
arXiv:1401.1706, Title: Bayesian data augmentation dose finding with continual reassessment  method and delayed toxicity
arXiv:1401.1749, Title: Reconstructing transmission trees for communicable diseases using  densely sampled genetic data
arXiv:1401.1831, Title: On Linear Regression for Interval-valued Data in  $\mathcal{K}_{\mathcal{C}}\left(\mathbb{R}\right)$
arXiv:1401.1842, Title: Robust Large Scale Non-negative Matrix Factorization using Proximal  Point Algorithm
arXiv:1401.1915, Title: A new class of flexible link functions with application to species  co-occurrence in cape floristic region
arXiv:1401.1999, Title: Extending the Archimedean copula methodology to model multivariate  survival data grouped in clusters of variable size
arXiv:1401.2054, Title: Bayesian meta-analysis of correlation coefficients through power prior
arXiv:1401.2081, Title: Mediation analysis with missing data through multiple imputation and  bootstrap
arXiv:1401.2126, Title: Editorial
arXiv:1401.2135, Title: Implementing and Automating Fixed-Form Variational Posterior  Approximation through Stochastic Linear Regression
arXiv:1401.2139, Title: Distinguishing noise from chaos: objective versus subjective criteria  using Horizontal Visibility Graph
arXiv:1401.2163, Title: Estimation of Partially Linear Regression Model under Partial  Consistency Property
arXiv:1401.2188, Title: Sparse recovery under weak moment assumptions
arXiv:1401.2205, Title: Optimal Testing for Planted Satisfiability Problems
arXiv:1401.2254, Title: Sampling Issues in Bibliometric Analysis
arXiv:1401.2267, Title: On Various Confidence Intervals Post-Model-Selection
arXiv:1401.2272, Title: Functional stable limit theorems for quasi-efficient spectral  covolatility estimators
arXiv:1401.2278, Title: An empirical Bayes testing procedure for detecting variants in analysis  of next generation sequencing data
arXiv:1401.2282, Title: How do heterogeneities in operating environments affect field failure  predictions and test planning?
arXiv:1401.2293, Title: Discussion of "Estimating the historical and future probabilities of  large terrorist events" by Aaron Clauset and Ryan Woodard
arXiv:1401.2298, Title: Discussion of "Estimating the historical and future probabilities of  large terrorist event" by Aaron Clauset and Ryan Woodard
arXiv:1401.2303, Title: Discussion of "Estimating the historical and future probabilities of  large terrorist events" by Aaron Clauset and Ryan Woodard
arXiv:1401.2304, Title: Lasso and equivalent quadratic penalized models
arXiv:1401.2308, Title: Discussion of "Estimating the historical and future probabilities of  large terrorist events" by Aaron Clauset and Ryan Woodard
arXiv:1401.2309, Title: Discussion of "Estimating the historical and future probabilities of  large terrorist events" by Aaron Clauset and Ryan Woodard
arXiv:1401.2316, Title: Discussion of "Estimating the historical and future probabilities of  large terrorist events" by Aaron Clauset and Ryan Woodard
arXiv:1401.2317, Title: Rejoinder of "Estimating the historical and future probabilities of  large terrorist events" by Aaron Clauset and Ryan Woodard
arXiv:1401.2324, Title: Bayesian shrinkage methods for partially observed data with many  predictors
arXiv:1401.2344, Title: Exploiting multiple outcomes in Bayesian principal stratification  analysis with application to the evaluation of a job training program
arXiv:1401.2377, Title: Depth-based Runs Tests for Bivariate Central Symmetry
arXiv:1401.2395, Title: A statistical approach to the inverse problem in magnetoencephalography
arXiv:1401.2425, Title: Poisson Regression with Survey Data
arXiv:1401.2451, Title: Online Matrix Completion Through Nuclear Norm Regularisation
arXiv:1401.2480, Title: Lasso Regression: Estimation and Shrinkage via Limit of Gibbs Sampling
arXiv:1401.2497, Title: Multiscale Shrinkage and Lévy Processes
arXiv:1401.2597, Title: Multivariate Density Estimation via Adaptive Partitioning (I): Sieve MLE
arXiv:1401.2642, Title: Hierarchical modelling of faecal egg counts to assess anthelmintic  efficacy
arXiv:1401.2649, Title: Personalised Medicine: Taking a New Look at the Patient
arXiv:1401.2678, Title: Inference in High Dimensions with the Penalized Score Test
arXiv:1401.2709, Title: A quantum linguistic characterization of the reverse relation between  confidence interval and hypothesis testing
arXiv:1401.2722, Title: The shuffle estimator for explainable variance in fMRI experiments
arXiv:1401.2728, Title: A semiparametric approach to mixed outcome latent variable models:  Estimating the association between cognition and regional brain volumes
arXiv:1401.2753, Title: Stochastic Optimization with Importance Sampling
arXiv:1401.2756, Title: Multi-way blockmodels for analyzing coordinated high-dimensional  responses
arXiv:1401.2760, Title: Bayesian spline method for assessing extreme loads on wind turbines
arXiv:1401.2771, Title: A variational Bayes framework for sparse adaptive estimation
arXiv:1401.2781, Title: Asymptotic distribution of principal component scores for pervasive,  high-dimensional eigenvectors
arXiv:1401.2791, Title: The Progressive Proposal Particle Filter: Better Approximations to the  Optimal Importance Density
arXiv:1401.2822, Title: Approximations for two-dimensional discrete scan statistics in some  block-factor type dependent models
arXiv:1401.2823, Title: Radial Covariance Functions Motivated by Spatial Random Field Models  with Local Interactions
arXiv:1401.2832, Title: Principal trend analysis for time-course data with applications in  genomic medicine
arXiv:1401.2894, Title: Exact Bayesian Inference for the Bingham Distribution
arXiv:1401.2955, Title: Binary Classifier Calibration: Bayesian Non-Parametric Approach
arXiv:1401.2957, Title: Bayesian analysis for a class of beta mixed models
arXiv:1401.3020, Title: Empirical geodesic graphs and CAT(k) metrics for data analysis
arXiv:1401.3034, Title: Inference for Monotone Trends Under Dependence
arXiv:1401.3084, Title: A comparison of Bayesian and frequentist interval estimators in  regression that utilize uncertain prior information
arXiv:1401.3105, Title: Maximum likelihood estimation in the two-state Markovian arrival process
arXiv:1401.3167, Title: Quasi-Hadamard differentiability of general risk functionals and its  application
arXiv:1401.3191, Title: Joint ML estimation of all parameters in a discrete time random field  HJM type interest rate model
arXiv:1401.3211, Title: Modeling Light Curves for Improved Classification
arXiv:1401.3229, Title: Principal Component Analysis in an Asymmetric Norm
arXiv:1401.3257, Title: Importance Sampling for multi-constraints rare event probability
arXiv:1401.3269, Title: Teaching precursors to data science in introductory and second courses  in statistics
arXiv:1401.3291, Title: Detection of Anomalous Crowd Behavior Using Spatio-Temporal  Multiresolution Model and Kronecker Sum Decompositions
arXiv:1401.3358, Title: Survey On The Estimation Of Mutual Information Methods as a Measure of  Dependency Versus Correlation Analysis
arXiv:1401.3362, Title: Kernel Density Estimation with Berkson Error
arXiv:1401.3383, Title: A Log Probability Weighted Moment Estimator of Extreme Quantiles
arXiv:1401.3390, Title: Binary Classifier Calibration: Non-parametric approach
arXiv:1401.3407, Title: USRP Implementation of Max-Min SNR Signal Energy based Spectrum Sensing  Algorithms for Cognitive Radio Networks
arXiv:1401.3408, Title: Multiple optimality properties of the Shewhart test
arXiv:1401.3424, Title: Marchenko-Pastur Law for Tyler's M-estimator
arXiv:1401.3518, Title: Percolation under Noise: Detecting Explosive Percolation Using the  Second Largest Component
arXiv:1401.3632, Title: Bayesian Conditional Density Filtering
arXiv:1401.3737, Title: Coordinate Descent with Online Adaptation of Coordinate Frequencies
arXiv:1401.3790, Title: Detection of Phase Shift Events
arXiv:1401.3801, Title: Finite-length Analysis on Tail probability for Markov Chain and  Application to Simple Hypothesis Testing
arXiv:1401.3812, Title: Estimating Box-Cox power transformation parameter via goodness of fit  tests
arXiv:1401.3813, Title: Seeded Graph Matching Via Joint Optimization of Fidelity and  Commensurability
arXiv:1401.3814, Title: Information Geometry Approach to Parameter Estimation in Markov Chains
arXiv:1401.3889, Title: Exact Post-Selection Inference for Sequential Regression Procedures
arXiv:1401.3911, Title: Inference on Self-Exciting Jumps in Prices and Volatility using High  Frequency Measures
arXiv:1401.3915, Title: Community Detection in Networks using Graph Distance
arXiv:1401.3940, Title: Nonparametric Latent Tree Graphical Models: Inference, Estimation, and  Structure Learning
arXiv:1401.3987, Title: Distribution of the largest root of a matrix for Roy's test in  multivariate analysis of variance
arXiv:1401.3988, Title: A Hamiltonian Monte Carlo Method for Non-Smooth Energy Sampling
arXiv:1401.4007, Title: Inference of weighted $V$-statistics for nonstationary time series and  its applications
arXiv:1401.4082, Title: Stochastic Backpropagation and Approximate Inference in Deep Generative  Models
arXiv:1401.4215, Title: Bayesian Hypothesis Assessment in Two-arm Trials Using Relative Belief  Ratios
arXiv:1401.4342, Title: Modelling a response as a function of high frequency count data: the  association between physical activity and fat mass
arXiv:1401.4369, Title: Delayed acceptance particle MCMC for exact inference in stochastic  kinetic models
arXiv:1401.4408, Title: Embedding Graphs under Centrality Constraints for Network Visualization
arXiv:1401.4425, Title: Monte Carlo Simulation for Lasso-Type Problems by Estimator Augmentation
arXiv:1401.4661, Title: Significance level and positivity bias as causes for high rate of  non-reproducible scientific results?
arXiv:1401.4718, Title: Bayesian Inference from Non-Ignorable Network Sampling Designs
arXiv:1401.4764, Title: GPA: A statistical approach to prioritizing GWAS results by integrating  pleiotropy information and annotation data
arXiv:1401.4769, Title: Variable Screenings in Binary Response Regressions with Multivariate  Normal Predictors
arXiv:1401.4827, Title: Measures of Correlation for Multiple Variables
arXiv:1401.4883, Title: Estimation in a change-point nonlinear quantile model
arXiv:1401.4896, Title: Goodness-of-fit for log-linear network models: Dynamic Markov bases  using hypergraphs
arXiv:1401.4912, Title: An Importance Sampling Scheme on Dual Factor Graphs. I. Models in a  Strong External Field
arXiv:1401.4980, Title: Shaped extensions of singular spectrum analysis
arXiv:1401.4988, Title: Marginal Pseudo-Likelihood Learning of Markov Network structures
arXiv:1401.5002, Title: On the Coverage Bound Problem of Empirical Likelihood Methods For Time  Series
arXiv:1401.5015, Title: Model selection of stochastic simulation algorithm based on generalized  divergence measures
arXiv:1401.5193, Title: Scalable Privacy-Preserving Data Sharing Methodology for Genome-Wide  Association Studies
arXiv:1401.5226, Title: The Why and How of Nonnegative Matrix Factorization
arXiv:1401.5264, Title: Penalized EM algorithm and copula skeptic graphical models for inferring  networks for mixed variables
arXiv:1401.5285, Title: Comparaison between the two models : new approach using the  $α$-divergence
arXiv:1401.5343, Title: Clustering South African households based on their asset status using  latent variable models
arXiv:1401.5398, Title: Dirichlet-Laplace priors for optimal shrinkage
arXiv:1401.5408, Title: On change point detection using the fused lasso method
arXiv:1401.5492, Title: Alternating direction method of multipliers for penalized zero-variance  discriminant analysis
arXiv:1401.5506, Title: An attraction-repulsion point process model for respiratory syncytial  virus infections
arXiv:1401.5508, Title: Hilbert Space Methods for Reduced-Rank Gaussian Process Regression
arXiv:1401.5547, Title: A Spatio-Temporal Point Process Model for Ambulance Demand
arXiv:1401.5548, Title: On Bayesian inference for the M/G/1 queue with efficient MCMC sampling
arXiv:1401.5571, Title: Well-Posed Bayesian Geometric Inverse Problems Arising in Subsurface  Flow
arXiv:1401.5580, Title: Polynomial Transformation Method for Non-Gaussian Noise Environment
arXiv:1401.5613, Title: A precision of the sequential change point detection
arXiv:1401.5617, Title: Exploring Hoover and Perez's experimental designs using global  sensitivity analysis
arXiv:1401.5625, Title: Identifiability of an Integer Modular Acyclic Additive Noise Model and  its Causal Structure Discovery
arXiv:1401.5636, Title: Causal Discovery in a Binary Exclusive-or Skew Acyclic Model: BExSAM
arXiv:1401.5649, Title: Nonlinear hyperspectral unmixing with robust nonnegative matrix  factorization
arXiv:1401.5684, Title: Model-based clustering for conditionally correlated categorical data
arXiv:1401.5747, Title: Multiple imputation for continuous variables using a Bayesian principal  component analysis
arXiv:1401.5755, Title: Instrumental Variables Estimation with Some Invalid Instruments and its  Application to Mendelian Randomization
arXiv:1401.5817, Title: Half-Region Depth for Stochastic Processes
arXiv:1401.5833, Title: Multiscale Dictionary Learning: Non-Asymptotic Bounds and Robustness
arXiv:1401.5899, Title: Kernel Least Mean Square with Adaptive Kernel Size
arXiv:1401.5925, Title: Joint relative position and velocity estimation for an anchorless  network of mobile nodes
arXiv:1401.5931, Title: Joint non-linear ranging and affine synchronization basis for a network  of mobile nodes
arXiv:1401.6002, Title: Numerical weather prediction or stochastic modeling: an objective  criterion of choice for the global radiation forecasting
arXiv:1401.6024, Title: Matrix factorization with Binary Components
arXiv:1401.6044, Title: Sequential Detection of an Abrupt Change in a Random Sequence with  Unknown Initial State
arXiv:1401.6276, Title: The EM algorithm and the Laplace Approximation
arXiv:1401.6371, Title: A general procedure to combine estimators
arXiv:1401.6389, Title: Parallel Optimisation of Bootstrapping in R
arXiv:1401.6433, Title: Flexible behavioral capture-recapture modelling
arXiv:1401.6449, Title: A statistical network analysis of the HIV/AIDS epidemics in Cuba
arXiv:1401.6504, Title: Inferring gene-gene interactions and functional modules using sparse  canonical correlation analysis
arXiv:1401.6595, Title: Regularized brain reading with shrinkage and smoothing
arXiv:1401.6597, Title: Ensembled Correlation Between Liver Analysis Outputs
arXiv:1401.6623, Title: Near-Ideal Behavior of Compressed Sensing Algorithms
arXiv:1401.6640, Title: Forensic Statistics and Justice: the Leiden Consensus
arXiv:1401.6714, Title: Information Theory of Penalized Likelihoods and its Statistical  Implications
arXiv:1401.6740, Title: Safe Sample Screening for Support Vector Machines
arXiv:1401.6849, Title: A New Approach to Inference in Multi-Survey Studies with Unknown  Population Size
arXiv:1401.6882, Title: Bandwidth selection in kernel empirical risk minimization via the  gradient
arXiv:1401.6926, Title: Performance Analysis of Tyler's Covariance Estimator
arXiv:1401.6978, Title: Sparsistency and agnostic inference in sparse PCA
arXiv:1401.7001, Title: A modified $χ^2$-test for uplift models with applications in  marketing performance measurement
arXiv:1401.7145, Title: Tempering by Subsampling
arXiv:1401.7195, Title: Estimation for the Linear Model with Uncertain Covariance Matrices
arXiv:1401.7214, Title: Exploring dependence between categorical variables: benefits and  limitations of using variable selection within Bayesian clustering in  relation to log-linear modelling with interaction terms
arXiv:1401.7241, Title: Markov adaptive Pólya trees and multi-resolution adaptive shrinkage in  nonparametric modeling
