arXiv:1802.00001, Title: Surjectivity of near square random matrices
arXiv:1802.00021, Title: Another Look at Statistical Calibration: A Non-Asymptotic Theory and  Prediction-Oriented Optimality
arXiv:1802.00032, Title: Coupling geometry on binary bipartite networks: hypotheses testing on  pattern geometry and nestedness
arXiv:1802.00043, Title: Incremental kernel PCA and the Nyström method
arXiv:1802.00045, Title: Composite Gaussian Processes: Scalable Computation and Performance  Analysis
arXiv:1802.00086, Title: Optimizing Non-decomposable Measures with Deep Networks
arXiv:1802.00130, Title: Distributed Newton Methods for Deep Neural Networks
arXiv:1802.00151, Title: Macros to Conduct Tests of Multimodality in SAS
arXiv:1802.00211, Title: Hoeffding's lemma for Markov Chains and its applications to statistical  learning
arXiv:1802.00228, Title: Strength of forensic evidence for composite hypotheses: An empirical  Bayes view with a fixed prior quantile
arXiv:1802.00243, Title: Greedy Active Learning Algorithm for Logistic Regression Models
arXiv:1802.00381, Title: Signal-plus-noise matrix models: eigenvector deviations and fluctuations
arXiv:1802.00430, Title: Linearized Binary Regression
arXiv:1802.00474, Title: Bayesian Modeling via Goodness-of-fit
arXiv:1802.00495, Title: Practical Bayesian Modeling and Inference for Massive Spatial Datasets  On Modest Computing Environments
arXiv:1802.00515, Title: Dimension Reduction via Gaussian Ridge Functions
arXiv:1802.00517, Title: Zero-adjusted Birnbaum-Saunders regression model
arXiv:1802.00527, Title: Predicting outcomes for games of skill by redefining what it means to  win
arXiv:1802.00530, Title: Scalable Lévy Process Priors for Spectral Kernel Learning
arXiv:1802.00555, Title: On the Predictive Risk in Misspecified Quantile Regression
arXiv:1802.00568, Title: An Instability in Variational Inference for Topic Models
arXiv:1802.00578, Title: A reversal phenomenon in estimation based on multiple samples from the  Poisson--Dirichlet distribution
arXiv:1802.00665, Title: A novel approach to estimate the Cox model with temporal covariates and  its application to medical cost data
arXiv:1802.00677, Title: Stochastic Kriging for Inadequate Simulation Models
arXiv:1802.00796, Title: Bayes Calculations from Quantile Implied Likelihood
arXiv:1802.00828, Title: Comparing multiple networks using the Co-expression Differential Network  Analysis (CoDiNA)
arXiv:1802.00842, Title: Voting patterns in 2016: Exploration using multilevel regression and  poststratification (MRP) on pre-election polls
arXiv:1802.00852, Title: Parameter and Uncertainty Estimation for Dynamical Systems Using  Surrogate Stochastic Processes
arXiv:1802.00967, Title: Which Football Player Bears Most Resemblance to Messi? A Statistical  Analysis
arXiv:1802.00982, Title: Stochastic integral with respect to the mixed fractional Brownian motion  and drift estimation of the mixed fraction Ornstein-Ulenbeck process
arXiv:1802.00994, Title: A new integer-valued AR(1) process based on power series thinning  operator
arXiv:1802.00996, Title: Assessing Prediction Error at Interpolation and Extrapolation Points
arXiv:1802.00998, Title: nflWAR: A Reproducible Method for Offensive Player Evaluation in  Football
arXiv:1802.01018, Title: Randomization Tests that Condition on Non-Categorical Covariate Balance
arXiv:1802.01041, Title: Distance Metrics for Gamma Distributions
arXiv:1802.01053, Title: Using Poisson Binomial GLMs to Reveal Voter Preferences
arXiv:1802.01056, Title: Uncertainty Quantification of the time averaging of a Statistics  Computed from Numerical Simulation of Turbulent Flow
arXiv:1802.01071, Title: Hierarchical Adversarially Learned Inference
arXiv:1802.01085, Title: INLA goes extreme: Bayesian tail regression for the estimation of high  spatio-temporal quantiles
arXiv:1802.01141, Title: Simultaneous Selection of Multiple Important Single Nucleotide  Polymorphisms in Familial Genome Wide Association Studies Data
arXiv:1802.01152, Title: Testing to distinguish measures on metric spaces
arXiv:1802.01227, Title: Copula-based Partial Correlation Screening: a Joint and Robust Approach
arXiv:1802.01245, Title: On singular value distribution of large dimensional data matrices whose  columns have different correlations
arXiv:1802.01301, Title: Comparison of computer systems and ranking criteria for automatic  melanoma detection in dermoscopic images
arXiv:1802.01334, Title: Information Assisted Dictionary Learning for fMRI data analysis
arXiv:1802.01396, Title: To understand deep learning we need to understand kernel learning
arXiv:1802.01421, Title: Adversarial Vulnerability of Neural Networks Increases With Input  Dimension
arXiv:1802.01428, Title: Re-thinking non-inferiority: a practical trial design for optimising  treatment duration
arXiv:1802.01435, Title: A Method for Restoring the Training Set Distribution in an Image  Classifier
arXiv:1802.01535, Title: Exceedance-based nonlinear regression of tail dependence
arXiv:1802.01610, Title: Fast and accurate approximation of the full conditional for gamma shape  parameters
arXiv:1802.01630, Title: Estimation of Viterbi path in Bayesian hidden Markov models
arXiv:1802.01715, Title: A Wilks' theorem for grouped data
arXiv:1802.01718, Title: A Bayesian Nonparametric Approach to Dynamical Noise Reduction
arXiv:1802.01733, Title: Internet - assisted risk assessment of infectious diseases in women  sexual and reproductive health
arXiv:1802.01737, Title: Bayesian Coreset Construction via Greedy Iterative Geodesic Ascent
arXiv:1802.01755, Title: Dynamic Spatial Panel Models: Networks, Common Shocks, and Sequential  Exogeneity
arXiv:1802.01841, Title: Quantifying dependencies for sensitivity analysis with multivariate  input sample data
arXiv:1802.01877, Title: Testing for equivalence: an intersection-union permutation solution
arXiv:1802.01946, Title: The additive hazard estimator is consistent for continuous time marginal  structural models
arXiv:1802.01987, Title: A hierarchical model of non-homogeneous Poisson processes for Twitter  retweets
arXiv:1802.02009, Title: The nonparametric LAN expansion for discretely observed diffusions
arXiv:1802.02074, Title: Splitting models for multivariate count data
arXiv:1802.02099, Title: Triage strategies for agile core sorting in extreme value scenarios
arXiv:1802.02163, Title: How to Make Causal Inferences Using Texts
arXiv:1802.02219, Title: Scalable Meta-Learning for Bayesian Optimization
arXiv:1802.02223, Title: Seeded Ising Model and Statistical Natures of Human Iris Templates
arXiv:1802.02251, Title: An Imputation-Consistency Algorithm for High-Dimensional Missing Data  Problems and Beyond
arXiv:1802.02286, Title: An MCMC Algorithm for Estimating the Q-matrix in a Bayesian Framework
arXiv:1802.02343, Title: Multi-View Bayesian Correlated Component Analysis
arXiv:1802.02352, Title: Wishart laws and variance function on homogeneous cones
arXiv:1802.02368, Title: Group kernels for Gaussian process metamodels with categorical inputs
arXiv:1802.02423, Title: On the Generalizability of Linear and Non-Linear Region of  Interest-Based Multivariate Regression Models for fMRI Data
arXiv:1802.02436, Title: Stochastic Deconvolutional Neural Network Ensemble Training on  Generative Pseudo-Adversarial Networks
arXiv:1802.02467, Title: Mixtures of Factor Analyzers with Fundamental Skew Symmetric  Distributions
arXiv:1802.02500, Title: Cadre Modeling: Simultaneously Discovering Subpopulations and Predictive  Models
arXiv:1802.02538, Title: Yes, but Did It Work?: Evaluating Variational Inference
arXiv:1802.02550, Title: Semi-Amortized Variational Autoencoders
arXiv:1802.02557, Title: Neyman-Pearson classification: parametrics and power enhancement
arXiv:1802.02558, Title: Intentional Control of Type I Error over Unconscious Data Distortion: a  Neyman-Pearson Approach to Text Classification
arXiv:1802.02626, Title: Interpolating Distributions for Populations in Nested Geographies using  Public-use Data with Application to the American Community Survey
arXiv:1802.02643, Title: Gradient conjugate priors and multi-layer neural networks
arXiv:1802.02649, Title: Correlation Estimation System Minimization Compared to Least Squares  Minimization in Simple Linear Regression
arXiv:1802.02691, Title: A Bayesian Approach to Multi-State Hidden Markov Models: Application to  Dementia Progression
arXiv:1802.02698, Title: More Efficient Estimation for Logistic Regression with Optimal Subsample
arXiv:1802.02798, Title: Transductive Adversarial Networks (TAN)
arXiv:1802.02821, Title: Data-adaptive doubly robust instrumental variable methods for treatment  effect heterogeneity
arXiv:1802.02825, Title: Bayesian analysis of predictive Non-Homogeneous hidden Markov models  using Polya-Gamma data augmentation
arXiv:1802.02852, Title: mGPfusion: Predicting protein stability changes with Gaussian process  kernel learning and data fusion
arXiv:1802.02896, Title: Learning Role-based Graph Embeddings
arXiv:1802.02907, Title: A Game-Theoretic Approach to Design Secure and Resilient Distributed  Support Vector Machines
arXiv:1802.02920, Title: Spectral State Compression of Markov Processes
arXiv:1802.02928, Title: Statistical tests for extreme precipitation volumes
arXiv:1802.02972, Title: Inferência Baseada em Magnitudes na investigação em Ciências  do Esporte. A necessidade de romper com os testes de hipótese nula e os  valores de p
arXiv:1802.03001, Title: Statistical Learnability of Generalized Additive Models based on Total  Variation Regularization
arXiv:1802.03039, Title: Few-shot learning of neural networks from scratch by pseudo example  optimization
arXiv:1802.03041, Title: Detection of Adversarial Training Examples in Poisoning Attacks through  Anomaly Detection
arXiv:1802.03050, Title: Thompson Sampling for Dynamic Pricing
arXiv:1802.03065, Title: Generating Realistic Geology Conditioned on Physical Measurements with  Generative Adversarial Networks
arXiv:1802.03077, Title: Combining Satellite Imagery and Numerical Model Simulation to Estimate  Ambient Air Pollution: An Ensemble Averaging Approach
arXiv:1802.03127, Title: Robust and Sparse Regression in GLM by Stochastic Optimization
arXiv:1802.03140, Title: Neighborhood Change, One Pint at a Time: The Impact of Local  Characteristics on Craft Breweries
arXiv:1802.03141, Title: A Minimum Message Length Criterion for Robust Linear Regression
arXiv:1802.03151, Title: Deep Private-Feature Extraction
arXiv:1802.03203, Title: Curve Registered Coupled Low Rank Factorization
arXiv:1802.03212, Title: Deep clustering of longitudinal data
arXiv:1802.03242, Title: Projecting UK Mortality using Bayesian Generalised Additive Models
arXiv:1802.03300, Title: Bayesian inference for bivariate ranks
arXiv:1802.03319, Title: Predicting Audio Advertisement Quality
arXiv:1802.03334, Title: Learning Localized Spatio-Temporal Models From Streaming Data
arXiv:1802.03335, Title: Black-box Variational Inference for Stochastic Differential Equations
arXiv:1802.03341, Title: Automatic Passenger Counting: Introducing the t-Test Induced Equivalence  Test
arXiv:1802.03360, Title: Information Planning for Text Data
arXiv:1802.03395, Title: Bootstrap validation of links of a minimum spanning tree
arXiv:1802.03396, Title: Predicting Customer Churn: Extreme Gradient Boosting with Temporal Data
arXiv:1802.03418, Title: Predicting University Students' Academic Success and Major using Random  Forests
arXiv:1802.03425, Title: Asymptotic nonequivalence of density estimation and Gaussian white noise  for small densities
arXiv:1802.03426, Title: UMAP: Uniform Manifold Approximation and Projection for Dimension  Reduction
arXiv:1802.03451, Title: Estimating the Spectral Density of Large Implicit Matrices
arXiv:1802.03471, Title: Certified Robustness to Adversarial Examples with Differential Privacy
arXiv:1802.03475, Title: Communication-Computation Efficient Gradient Coding
arXiv:1802.03479, Title: Gaussian Process Landmarking on Manifolds
arXiv:1802.03488, Title: Generalization of an Upper Bound on the Number of Nodes Needed to  Achieve Linear Separability
arXiv:1802.03490, Title: A whitening approach to probabilistic canonical correlation analysis for  omics data integration
arXiv:1802.03503, Title: A New Approach of Exploiting Self-Adjoint Matrix Polynomials of Large  Random Matrices for Anomaly Detection and Fault Location
arXiv:1802.03511, Title: A General Framework For Frequentist Model Averaging
arXiv:1802.03522, Title: Enhanced version of AdaBoostM1 with J48 Tree learning method
arXiv:1802.03529, Title: Revealing hidden scenes by photon-efficient occlusion-based  opportunistic active imaging
arXiv:1802.03567, Title: Critères de qualité d'un classifieur généraliste
arXiv:1802.03569, Title: Persistence Fisher Kernel: A Riemannian Manifold Kernel for Persistence  Diagrams
arXiv:1802.03627, Title: Detecting Multiple Change Points Using Adaptive Regression Splines with  Application to Neural Recordings
arXiv:1802.03644, Title: Learning to Match via Inverse Optimal Transport
arXiv:1802.03653, Title: On Symplectic Optimization
arXiv:1802.03676, Title: Differentiable Dynamic Programming for Structured Prediction and  Attention
arXiv:1802.03688, Title: On the Rates of Convergence from Surrogate Risk Minimizers to the Bayes  Optimal Classifier
arXiv:1802.03690, Title: On the Generalization of Equivariance and Convolution in Neural Networks  to the Action of Compact Groups
arXiv:1802.03692, Title: Nearly Optimal Adaptive Procedure for Piecewise-Stationary Bandit: a  Change-Point Detection Approach
arXiv:1802.03708, Title: A Dynamic Network Perspective on the Latent Group Structure of  Cryptocurrencies
arXiv:1802.03713, Title: $\mathcal{G}$-SGD: Optimizing ReLU Neural Networks in its Positively  Scale-Invariant Space
arXiv:1802.03752, Title: Supervised classification of Dermatological diseases by Deep learning
arXiv:1802.03759, Title: Multi-set Canonical Correlation Analysis simply explained
arXiv:1802.03761, Title: On the Latent Space of Wasserstein Auto-Encoders
arXiv:1802.03778, Title: Sample Design for Audit Populations
arXiv:1802.03830, Title: Distributed Stochastic Multi-Task Learning with Graph Regularization
arXiv:1802.03839, Title: Band Target Entropy Minimization and Target Partial Least Squares for  Spectral Recovery and Calibration
arXiv:1802.03840, Title: Uncharted Forest a Technique for Exploratory Data Analysis
arXiv:1802.03848, Title: Region Detection in Markov Random Fields: Gaussian Case
arXiv:1802.03877, Title: Gaussian Process Classification with Privileged Information by  Soft-to-Hard Labeling Transfer
arXiv:1802.03882, Title: Random Hinge Forest for Differentiable Learning
arXiv:1802.03884, Title: Simultaneous Rank Tests in Analysis of Covariance Based on Pairwise  Ranking
arXiv:1802.03913, Title: Assessing the Utility of Weather Data for Photovoltaic Power Prediction
arXiv:1802.03923, Title: Safe Triplet Screening for Distance Metric Learning
arXiv:1802.03938, Title: Revisiting the Vector Space Model: Sparse Weighted Nearest-Neighbor  Method for Extreme Multi-Label Classification
arXiv:1802.03945, Title: Estimating Diffusion With Compound Poisson Jumps Based On  Self-normalized Residuals
arXiv:1802.03967, Title: Self-exciting Point Processes: Infections and Implementations
arXiv:1802.03987, Title: Latent Variable Time-varying Network Inference
arXiv:1802.04050, Title: Exact and efficient inference for Partial Bayes problems
arXiv:1802.04064, Title: A Contextual Bandit Bake-off
arXiv:1802.04065, Title: An experimental study of Bitcoin fluctuation using machine learning  methods
arXiv:1802.04145, Title: DCFNet: Deep Neural Network with Decomposed Convolutional Filters
arXiv:1802.04161, Title: Risk Factors Associated with Mortality in Game of Thrones: A  Longitudinal Cohort Study
arXiv:1802.04170, Title: Design of Experiments for Model Discrimination Hybridising Analytical  and Data-Driven Approaches
arXiv:1802.04198, Title: client2vec: Towards Systematic Baselines for Banking Applications
arXiv:1802.04220, Title: Augment and Reduce: Stochastic Inference for Large Categorical  Distributions
arXiv:1802.04223, Title: SparseMAP: Differentiable Sparse Structured Inference
arXiv:1802.04230, Title: Some effects in adaptive robust estimation under sparsity
arXiv:1802.04233, Title: Embedding Complexity In the Data Representation Instead of In the Model:  A Case Study Using Heterogeneous Medical Data
arXiv:1802.04307, Title: A Fast Proximal Point Method for Computing Wasserstein Distance
arXiv:1802.04308, Title: Dimension-free PAC-Bayesian bounds for the estimation of the mean of a  random vector
arXiv:1802.04310, Title: Stochastic quasi-Newton with adaptive step lengths for large-scale  problems
arXiv:1802.04321, Title: Detecting weak signals by combining small P-values in observational  studies with multiple testing
arXiv:1802.04366, Title: Bouncy Hybrid Sampler as a Unifying Device
arXiv:1802.04374, Title: Tempered Adversarial Networks
arXiv:1802.04380, Title: Randomized Empirical Processes and Confidence Bands via Virtual  Resampling
arXiv:1802.04397, Title: Identifiability of Nonparametric Mixture Models and Bayes Optimal  Clustering
arXiv:1802.04403, Title: TVAE: Triplet-Based Variational Autoencoder using Metric Learning
arXiv:1802.04422, Title: A comparative study of fairness-enhancing interventions in machine  learning
arXiv:1802.04452, Title: Bayesian model assessment: Use of conditional vs marginal likelihoods
arXiv:1802.04474, Title: Deep Neural Networks Learn Non-Smooth Functions Effectively
arXiv:1802.04483, Title: Some Information Inequalities for Statistical Inference
arXiv:1802.04502, Title: Legendre Decomposition for Tensors
arXiv:1802.04511, Title: Equations defining probability tree models
arXiv:1802.04537, Title: Tighter Variational Bounds are Not Necessarily Better
arXiv:1802.04551, Title: Analysis of Minimax Error Rate for Crowdsourcing and Its Application to  Worker Clustering Model
arXiv:1802.04589, Title: When and when not to use optimal model averaging
arXiv:1802.04617, Title: Fast Global Convergence via Landscape of Empirical Loss
arXiv:1802.04630, Title: A probabilistic framework for multi-view feature learning with  many-to-many associations via neural networks
arXiv:1802.04676, Title: Variable Selection and Task Grouping for Multi-Task Learning
arXiv:1802.04684, Title: Unsupervised Evaluation and Weighted Aggregation of Ranked Predictions
arXiv:1802.04687, Title: Neural Relational Inference for Interacting Systems
arXiv:1802.04700, Title: On Double Smoothed Volatility Estimation of Potentially Nonstationary  Jump-Diffusion Model
arXiv:1802.04715, Title: Online Variance Reduction for Stochastic Optimization
arXiv:1802.04725, Title: Superposition-Assisted Stochastic Optimization for Hawkes Processes
arXiv:1802.04734, Title: Substation Signal Matching with a Bagged Token Classifier
arXiv:1802.04755, Title: Exploring patterns of demand in bike sharing systems via replicated  point process models
arXiv:1802.04784, Title: MONK -- Outlier-Robust Mean Embedding Estimation by Median-of-Means
arXiv:1802.04791, Title: Stochastic Variance-Reduced Hamilton Monte Carlo Methods
arXiv:1802.04826, Title: Leveraging the Exact Likelihood of Deep Latent Variable Models
arXiv:1802.04830, Title: Prediction of next career moves from scientific profiles
arXiv:1802.04838, Title: Network Estimation from Point Process Data
arXiv:1802.04843, Title: Sources of Variance in Two-Photon Microscopy Neuroimaging
arXiv:1802.04846, Title: State Space Gaussian Processes with Non-Gaussian Likelihood
arXiv:1802.04849, Title: Clustering and Semi-Supervised Classification for Clickstream Data via  Mixture Models
arXiv:1802.04852, Title: Persistence Codebooks for Topological Data Analysis
arXiv:1802.04865, Title: Learning Confidence for Out-of-Distribution Detection in Neural Networks
arXiv:1802.04868, Title: SimplE Embedding for Link Prediction in Knowledge Graphs
